"name","numberOfCores","memoryInMB","linuxPrice","windowsPrice","bestPriceRegion"
"Standard_E8ds_v5",8,64,"0.5760","0.9440","East US / 0%"
"Standard_E8pds_v5",8,64,"0.4610","0.8290","Jio India West / -28.9%"
"Standard_E8pds_v6",8,64,"0.4680","n/a","Central India / -34.4%"
"Standard_E8ps_v5",8,64,"0.4030","0.7710","Central India / -35.5%"
"Standard_E8ps_v6",8,64,"0.3690","n/a","Central India / -34.4%"
"Standard_E8s_v3",8,64,"0.5040","0.8720","North Central US / 0%"
"Standard_E8s_v4",8,64,"0.5040","0.8720","East US / 0%"
"Standard_E8s_v5",8,64,"0.5040","0.8720","West US 2 / 0%"
"Standard_E96_v5",96,672,"6.0480","10.4640","West US 2 / 0%"
"Standard_E96-24ads_v5",24,672,"6.2880","10.7040","Central India / -36.6%"
"Standard_E96-24as_v4",24,672,"6.0480","10.4640","East US / 0%"
"Standard_E96-24as_v5",24,672,"9.8400","9.8400","Central India / -65.1%"
"Standard_E96-24ds_v5",24,672,"6.9120","11.3280","East US / 0%"
"Standard_E96-24s_v5",24,672,"6.0480","10.4640","East US / 0%"
"Standard_E96-48ads_v5",48,672,"6.2880","10.7040","Central India / -36.6%"
"Standard_E96-48as_v4",48,672,"6.0480","10.4640","US Gov Virginia / 0%"
"Standard_E96-48as_v5",48,672,"5.4240","9.8400","Central India / -36.7%"
"Standard_E96-48ds_v5",48,672,"6.9120","11.3280","East US / 0%"
"Standard_E96-48s_v5",48,672,"6.0480","10.4640","West US 2 / 0%"
"Standard_E96a_v4",96,672,"6.0480","10.4640","Jio India West / -37%"
"Standard_E96ads_v5",96,672,"6.3340","10.7040","Central India / -37.1%"
"Standard_E96ads_v6",96,672,"6.9700","11.3860","Central India / -35.4%"
"Standard_E96as_v4",96,672,"6.0480","10.4640","Jio India West / -37%"
"Standard_E96as_v5",96,672,"5.4700","9.8400","Jio India West / -37.3%"
"Standard_E96as_v6",96,672,"5.7220","10.1380","Central India / -35.4%"
"Standard_E96bds_v5",96,672,"8.0160","12.4320","North Central US / 0%"
"Standard_E96bs_v5",96,672,"7.1520","11.5680","West US 2 / 0%"
"Standard_E96d_v5",96,672,"6.9120","11.3280","West US 3 / 0%"
"Standard_E96ds_v5",96,672,"6.9120","11.3280","East US / 0%"
"Standard_E96pds_v6",96,672,"5.6160","n/a","Central India / -34.4%"
"Standard_E96ps_v6",96,672,"4.4260","n/a","Central India / -34.3%"
"Standard_E96s_v5",96,672,"6.0480","10.4640","West US 3 / 0%"
"Standard_EC16ads_cc_v5",16,128,"1.0480","1.7840","Central India / -36.6%"
"Standard_EC16ads_v5",16,128,"1.0480","1.7840","Central India / -36.6%"
"Standard_EC16as_cc_v5",16,128,"0.9040","1.6400","Central India / -36.7%"
"Standard_EC16as_v5",16,128,"0.9040","1.6400","Central India / -36.7%"
"Standard_EC20ads_cc_v5",20,160,"1.3100","2.2300","Central India / -36.6%"
"Standard_EC20ads_v5",20,160,"1.3100","2.2300","Central India / -36.6%"
"Standard_EC20as_cc_v5",20,160,"1.1300","2.0500","Central India / -36.7%"
"Standard_EC20as_v5",20,160,"1.1300","2.0500","Jio India West / -36.7%"
"Standard_EC2ads_v5",2,16,"0.1310","0.2230","Jio India West / -36.6%"
"Standard_EC2as_v5",2,16,"0.1130","0.2050","Central India / -36.7%"
"Standard_EC32ads_cc_v5",32,192,"2.0960","3.5680","Central India / -36.6%"
"Standard_EC32ads_v5",32,192,"2.0960","3.5680","Jio India West / -36.6%"
"Standard_EC32as_cc_v5",32,192,"1.8080","3.2800","Central India / -36.7%"
"Standard_EC32as_v5",32,192,"1.8080","3.2800","Jio India West / -36.7%"
"Standard_EC48ads_cc_v5",48,384,"3.1440","5.3520","Central India / -36.6%"
"Standard_EC48ads_v5",48,384,"3.1440","5.3520","Jio India West / -36.6%"
"Standard_EC48as_cc_v5",48,384,"2.7120","4.9200","Central India / -36.7%"
"Standard_EC48as_v5",48,384,"2.7120","4.9200","Central India / -36.7%"
"Standard_EC4ads_cc_v5",4,32,"0.2620","0.4460","Central India / -36.6%"
"Standard_EC4ads_v5",4,32,"0.2620","0.4460","Central India / -36.6%"
"Standard_EC4as_cc_v5",4,32,"0.2260","0.4100","Central India / -36.7%"
"Standard_EC4as_v5",4,32,"0.2260","0.4100","Jio India West / -36.7%"
"Standard_EC64ads_cc_v5",64,512,"4.1920","7.1360","Central India / -36.6%"
"Standard_EC64ads_v5",64,512,"4.1920","7.1360","Jio India West / -36.6%"
"Standard_EC64as_cc_v5",64,512,"3.6160","6.5600","Central India / -36.7%"
"Standard_EC64as_v5",64,512,"3.6160","6.5600","Central India / -36.7%"
"Standard_EC8ads_cc_v5",8,64,"0.5240","0.8920","Jio India West / -36.6%"
"Standard_EC8ads_v5",8,64,"0.5240","0.8920","Central India / -36.6%"
"Standard_EC8as_cc_v5",8,64,"0.4520","0.8200","Jio India West / -36.7%"
"Standard_EC8as_v5",8,64,"0.4520","0.8200","Central India / -36.7%"
"Standard_EC96ads_cc_v5",96,672,"6.2880","10.7040","Jio India West / -36.6%"
"Standard_EC96ads_v5",96,672,"6.2880","10.7040","Central India / -36.6%"
"Standard_EC96as_cc_v5",96,672,"5.4240","9.8400","Jio India West / -36.7%"
"Standard_EC96as_v5",96,672,"5.4240","9.8400","Central India / -36.7%"
"Standard_EC96iads_v5",96,672,"6.9170","11.3330","Central India / -36.6%"
"Standard_EC96ias_v5",96,672,"5.9660","10.3820","Jio India West / -36.7%"
"Standard_F1",1,2,"0.0497","0.0957","Jio India West / -1.4%"
"Standard_F16",16,32,"0.7960","1.5320","Central India / -0.8%"
"Standard_F16als_v6",16,32,"0.9680","1.7040","Central India / -35.3%"
"Standard_F16ams_v6",16,128,"1.4320","2.1680","Central India / -35.4%"
"Standard_F16as_v6",16,64,"1.0930","1.8290","Central India / -35.4%"
"Standard_F16s",16,32,"0.7960","1.5320","Central India / -0.8%"
"Standard_F16s_v2",16,32,"0.6770","1.3020","West US 2 / 0%"
"Standard_F1s",1,2,"0.0497","0.0957","Jio India West / -1.4%"
"Standard_F2",2,4,"0.0990","0.1920","Central India / -0.2%"
"Standard_F2als_v6",2,4,"0.1210","0.2130","Jio India West / -35.4%"
"Standard_F2ams_v6",2,16,"0.1790","0.2710","Central India / -35.2%"
"Standard_F2as_v6",2,8,"0.1370","0.2290","Jio India West / -35.6%"
"Standard_F2s",2,4,"0.0990","0.1920","Jio India West / -0.2%"
"Standard_F2s_v2",2,4,"0.0846","0.1630","East US 2 / 0%"
"Standard_F32als_v6",32,64,"1.9360","3.4080","Jio India West / -35.4%"
"Standard_F32ams_v6",32,256,"2.8640","4.3360","Jio India West / -35.4%"
"Standard_F32as_v6",32,128,"2.1860","3.6580","Central India / -35.5%"
"Standard_F32s_v2",32,64,"1.3530","2.6040","West US 3 / 0%"
"Standard_F4",4,8,"0.1990","0.3830","Jio India West / -0.5%"
"Standard_F48als_v6",48,96,"2.9040","5.1120","Central India / -35.4%"
"Standard_F48ams_v6",48,384,"4.2960","6.5040","Central India / -35.4%"
"Standard_F48as_v6",48,192,"3.2780","5.4860","Jio India West / -35.4%"
"Standard_F48s_v2",48,96,"2.0300","4.2400","West US 2 / 0%"
"Standard_F4als_v6",4,8,"0.2420","0.4260","Jio India West / -35.5%"
"Standard_F4ams_v6",4,32,"0.3580","0.5420","Central India / -35.5%"
"Standard_F4as_v6",4,16,"0.2730","0.4570","Central India / -35.5%"
"Standard_F4s",4,8,"0.1990","0.3830","Central India / -0.5%"
"Standard_F4s_v2",4,8,"0.1690","0.3260","East US / 0%"
"Standard_F64als_v6",64,128,"3.8720","6.8160","Jio India West / -35.4%"
"Standard_F64ams_v6",64,512,"5.7280","8.6720","Jio India West / -35.4%"
"Standard_F64as_v6",64,256,"4.3710","7.3150","Central India / -35.4%"
"Standard_F64s_v2",64,128,"2.7060","5.2090","East US 2 / 0%"
"Standard_F72s_v2",72,144,"3.0450","5.8600","West US 3 / 0%"
"Standard_F8",8,16,"0.3980","0.7660","Jio India West / -0.8%"
"Standard_F8als_v6",8,16,"0.4840","0.8520","Jio India West / -35.3%"
"Standard_F8ams_v6",8,64,"0.7160","1.0840","Jio India West / -35.5%"
"Standard_F8as_v6",8,32,"0.5460","0.9140","Jio India West / -35.3%"
"Standard_F8s",8,16,"0.3980","0.7660","Central India / -0.8%"
"Standard_F8s_v2",8,16,"0.3380","0.6510","West US 2 / 0%"
"Standard_FX12mds",12,252,"1.1160","1.6680","West US 2 / 0%"
"Standard_FX24mds",24,504,"2.2320","3.3360","East US / 0%"
"Standard_FX36mds",36,756,"3.3480","5.0040","East US 2 / 0%"
"Standard_FX48mds",48,1008,"4.4640","6.6720","West US 2 / 0%"
"Standard_FX4mds",4,84,"0.3720","0.5560","East US 2 / 0%"
"Standard_H16",16,112,"1.8070","3.5080","West US 2 / -12%"
"Standard_H16m",16,224,"2.4220","4.6990","West US 2 / -12%"
"Standard_H16mr",16,224,"2.6640","5.1690","West US 2 / -12%"
"Standard_H16r",16,112,"1.9880","3.8580","West US 2 / -12%"
"Standard_H8",8,56,"0.9040","1.7540","West US 2 / -11.9%"
"Standard_H8m",8,112,"1.2110","2.3500","West US 2 / -12%"
"Standard_HB120-16rs_v2",16,456,"3.6000","9.1200","East US / 0%"
"Standard_HB120-16rs_v3",16,456,"3.6000","9.1200","West US 3 / 0%"
"Standard_HB120-32rs_v2",32,456,"3.6000","9.1200","West US 2 / 0%"
"Standard_HB120-32rs_v3",32,456,"3.6000","9.1200","West US 3 / 0%"
"Standard_HB120-64rs_v2",64,456,"3.6000","9.1200","West US 2 / 0%"
"Standard_HB120-64rs_v3",64,456,"3.6000","9.1200","East US / 0%"
"Standard_HB120-96rs_v2",96,456,"3.6000","9.1200","East US / 0%"
"Standard_HB120-96rs_v3",96,456,"3.6000","9.1200","East US / 0%"
"Standard_HB120rs_v2",120,456,"3.6000","9.1200","East US / 0%"
"Standard_HB120rs_v3",120,456,"3.6000","9.1200","East US / 0%"
"Standard_HB176-144rs_v4",144,768,"7.2000","15.2960","East US 2 / 0%"
"Standard_HB176-24rs_v4",24,768,"7.2000","15.2960","East US / 0%"
"Standard_HB176-48rs_v4",48,768,"7.2000","15.2960","East US / 0%"
"Standard_HB176-96rs_v4",96,768,"7.2000","15.2960","East US / 0%"
"Standard_HB176rs_v4",176,768,"7.2000","15.2960","East US 2 / 0%"
"Standard_HB60-15rs",15,228,"2.2800","5.0400","East US / 0%"
"Standard_HB60-30rs",30,228,"2.2800","5.0400","East US / 0%"
"Standard_HB60-45rs",45,228,"2.2800","5.0400","East US / 0%"
"Standard_HB60rs",60,228,"2.2800","5.0400","East US / 0%"
"Standard_HC44-16rs",16,352,"3.1680","5.1920","East US / 0%"
"Standard_HC44-32rs",32,352,"3.1680","5.1920","West US 2 / 0%"
"Standard_HC44rs",44,352,"3.1680","5.1920","East US / 0%"
"Standard_HX176-144rs",144,1408,"8.6400","16.7360","East US / 0%"
"Standard_HX176-24rs",24,1408,"8.6400","16.7360","East US 2 / 0%"
"Standard_HX176-48rs",48,1408,"8.6400","16.7360","East US 2 / 0%"
"Standard_HX176-96rs",96,1408,"8.6400","16.7360","East US / 0%"
"Standard_HX176rs",176,1408,"8.6400","16.7360","East US / 0%"
"Standard_L16as_v3",16,128,"1.2480","1.9840","East US 2 / 0%"
"Standard_L16s_v2",16,128,"1.2480","1.9840","West US 2 / 0%"
"Standard_L16s_v3",16,128,"1.3920","2.1280","East US / 0%"
"Standard_L32as_v3",32,256,"2.4960","3.9680","West US 3 / 0%"
"Standard_L32s_v2",32,256,"2.4960","3.9680","West US 3 / 0%"
"Standard_L32s_v3",32,256,"2.7840","4.2560","East US / 0%"
"Standard_L48as_v3",48,384,"3.7440","5.9520","West US 2 / 0%"
"Standard_L48s_v2",48,384,"3.7440","5.9520","East US / 0%"
"Standard_L48s_v3",48,384,"4.1760","6.3840","East US / 0%"
"Standard_L64as_v3",64,512,"4.9920","7.9360","West US 2 / 0%"
"Standard_L64s_v2",64,512,"4.9920","7.9360","West US 2 / 0%"
"Standard_L64s_v3",64,512,"5.5680","8.5120","East US / 0%"
"Standard_L80as_v3",80,640,"6.2400","9.9200","East US 2 / 0%"
"Standard_L80s_v2",80,640,"6.2400","9.9200","West US 2 / 0%"
"Standard_L80s_v3",80,640,"6.9600","10.6400","East US / 0%"
"Standard_L8as_v3",8,64,"0.6240","0.9920","East US 2 / 0%"
"Standard_L8s_v2",8,64,"0.6240","0.9920","East US 2 / 0%"
"Standard_L8s_v3",8,64,"0.6960","1.0640","East US / 0%"
"Standard_M128",128,2048,"13.3380","19.2260","East US / 0%"
"Standard_M128-32ms",32,3892,"26.6880","35.8140","West US 3 / 0%"
"Standard_M128-64ms",64,3892,"26.6880","35.8140","East US / 0%"
"Standard_M128bds_3_v3",128,2794,"45.9600","51.8500","West US 3 / -0%"
"Standard_M128bds_v3",128,1024,"11.7100","17.6000","East US / 0%"
"Standard_M128bs_v3",128,1024,"11.1600","14.1100","West US 2 / 0%"
"Standard_M128dms_v2",128,3892,"26.6900","32.5780","North Central US / 0%"
"Standard_M128ds_v2",128,2048,"13.3400","19.2280","East US 2 / 0%"
"Standard_M128m",128,3892,"26.6880","35.8140","West US 2 / 0%"
"Standard_M128ms",128,3892,"26.6880","35.8140","East US / 0%"
"Standard_M128ms_v2",128,3892,"26.2690","32.1570","East US / 0%"
"Standard_M128s",128,2048,"13.3380","19.2260","West US 2 / 0%"
"Standard_M128s_v2",128,2048,"12.9190","18.8070","West US 3 / 0%"
"Standard_M12ds_v3",12,240,"1.6300","2.1800","East US / 0%"
"Standard_M12s_v3",12,240,"1.5400","2.0900","East US 2 / 0%"
"Standard_M16-4ms",4,437.5,"3.0730","4.2138","West US 2 / 0%"
"Standard_M16-8ms",8,437.5,"3.0730","4.2138","East US 2 / 0%"
"Standard_M16bds_v3",16,128,"1.4600","2.2000","East US 2 / 0%"
"Standard_M16bs_v3",16,128,"1.4000","2.1300","West US 3 / -0.3%"
"Standard_M16ms",16,437.5,"3.0730","4.2138","East US 2 / 0%"
"Standard_M176bds_4_v3",176,3892,"62.8300","70.9300","West US 2 / 0%"
"Standard_M176bds_v3",176,1536,"16.1100","24.2000","East US / 0%"
"Standard_M176bs_v3",176,1536,"15.3400","19.4000","East US / 0%"
"Standard_M176ds_3_v3",176,2794,"19.0000","27.1000","East US 2 / 0%"
"Standard_M176ds_4_v3",176,3892,"26.4700","34.5600","East US 2 / 0%"
"Standard_M176s_3_v3",176,2794,"17.8800","25.9800","West US 2 / 0%"
"Standard_M176s_4_v3",176,3892,"24.9100","33.0000","East US 2 / 0%"
"Standard_M192idms_v2",192,4096,"32.0640","40.8960","East US 2 / 0%"
"Standard_M192ids_v2",192,2048,"16.0320","24.8640","North Central US / 0%"
"Standard_M192ims_v2",192,4096,"31.6430","40.4760","North Central US / 0%"
"Standard_M192is_v2",192,2048,"15.6110","24.4440","East US / 0%"
"Standard_M208ms_v2",208,5700,"44.6200","54.1880","North Central US / 0%"
"Standard_M208s_v2",208,2850,"22.3100","31.8780","East US / 0%"
"Standard_M24ds_v3",24,480,"3.2600","4.3700","East US 2 / 0%"
"Standard_M24s_v3",24,480,"3.0700","4.1800","East US 2 / 0%"
"Standard_M32-16ms",16,875,"6.1460","8.4276","East US / 0%"
"Standard_M32-8ms",8,875,"6.1460","8.4276","West US 2 / 0%"
"Standard_M32bds_v3",32,256,"2.9300","4.4000","North Central US / -0%"
"Standard_M32bs_v3",32,256,"2.7900","4.2600","West US 2 / 0%"
"Standard_M32dms_v2",32,875,"6.1460","7.6180","East US / 0%"
"Standard_M32ls",32,256,"2.8730","4.3450","East US 2 / 0%"
"Standard_M32ms",32,875,"6.1460","8.4276","West US 2 / 0%"
"Standard_M32ms_v2",32,875,"6.0410","7.5130","North Central US / 0%"
"Standard_M32ts",32,192,"2.7070","4.1790","West US 2 / 0%"
"Standard_M416-208ms_v2",208,11400,"99.1500","118.2900","East US 2 / 0%"
"Standard_M416-208s_v2",208,5700,"49.5800","68.7160","East US 2 / 0%"
"Standard_M416ds_6_v3",416,5696,"64.5183","83.6543","East US / 0%"
"Standard_M416ds_8_v3",416,7600,"86.0244","105.1604","East US 2 / 0%"
"Standard_M416ms_v2",416,11400,"99.1500","118.2900","North Central US / 0%"
"Standard_M416s_6_v3",416,5696,"61.4460","80.5820","East US 2 / 0%"
"Standard_M416s_8_v2",416,7600,"66.1100","85.2500","East US 2 / 0%"
"Standard_M416s_8_v3",416,7600,"81.9280","101.0640","East US 2 / 0%"
"Standard_M416s_v2",416,5700,"49.5800","68.7160","West US 3 / 0%"
"Standard_M48bds_v3",48,384,"4.3900","6.6000","East US 2 / 0%"
"Standard_M48bs_v3",48,384,"4.1800","6.3900","East US 2 / 0%"
"Standard_M48ds_1_v3",48,974,"6.6200","8.8300","North Central US / 0%"
"Standard_M48s_1_v3",48,974,"6.2300","8.4400","East US / 0%"
"Standard_M624ds_12_v3",624,11400,"129.0366","157.7406","West US 3 / -0%"
"Standard_M624s_12_v3",624,11400,"122.8920","151.5960","West US 3 / -0%"
"Standard_M64",64,1024,"6.6690","9.6130","East US 2 / 0%"
"Standard_M64-16ms",16,1792,"10.3370","14.6410","West US 3 / 0%"
"Standard_M64-32ms",32,1792,"10.3370","14.6410","West US 2 / 0%"
"Standard_M64bds_1_v3",64,1397,"22.9800","25.9200","West US 3 / -0%"
"Standard_M64bds_v3",64,512,"5.8600","8.8000","North Central US / -0%"
"Standard_M64bs_v3",64,512,"5.5800","8.5200","West US 2 / 0%"
"Standard_M64dms_v2",64,1792,"10.3400","13.2840","West US 3 / 0%"
"Standard_M64ds_v2",64,1024,"6.6690","9.6130","East US 2 / 0%"
"Standard_M64ls",64,512,"5.4150","8.3590","East US 2 / 0%"
"Standard_M64m",64,1792,"10.3370","14.6410","East US 2 / 0%"
"Standard_M64ms",64,1792,"10.3370","14.6410","West US 2 / 0%"
"Standard_M64ms_v2",64,1792,"10.1300","13.0730","North Central US / 0%"
"Standard_M64s",64,1024,"6.6690","9.6130","East US 2 / 0%"
"Standard_M64s_v2",64,1024,"6.4590","9.4030","West US 3 / 0%"
"Standard_M8-2ms",2,218.75,"1.5365","2.1069","West US 3 / -0%"
"Standard_M8-4ms",4,218.75,"1.5365","2.1069","West US 3 / -0%"
"Standard_M832ds_12_v3",832,11400,"141.9403","180.2123","West US 3 / -0%"
"Standard_M832ids_16_v3",832,15200,"172.0488","210.3208","West US 2 / 0%"
"Standard_M832is_16_v3",832,15200,"163.8560","202.1280","West US 2 / 0%"
"Standard_M832s_12_v3",832,11400,"135.1812","173.4532","West US 3 / -0%"
"Standard_M896ixds_32_v3",896,30400,"410.4000","451.6160","West US 2 / 0%"
"Standard_M8ms",8,218.75,"1.5365","2.1069","West US 3 / -0%"
"Standard_M96bds_2_v3",96,1946,"34.4700","38.8800","North Central US / -0%"
"Standard_M96bds_v3",96,768,"8.7900","13.2000","North Central US / -0%"
"Standard_M96bs_v3",96,768,"8.3700","12.7800","West US 2 / 0%"
"Standard_M96ds_1_v3",96,974,"9.9300","14.3400","West US 3 / 0%"
"Standard_M96ds_2_v3",96,1946,"13.2300","17.6500","West US 3 / 0%"
"Standard_M96s_1_v3",96,974,"9.3400","13.7600","West US 3 / 0%"
"Standard_M96s_2_v3",96,1946,"12.4500","16.8700","West US 3 / 0%"
"Standard_NC12",12,112,"1.8000","2.1680","West US 2 / 0%"
"Standard_NC12s_v2",12,224,"4.1400","4.9860","West US 2 / 0%"
"Standard_NC12s_v3",12,224,"6.1200","6.6720","East US / 0%"
"Standard_NC16as_T4_v3",16,110,"1.2040","1.9400","East US / 0%"
"Standard_NC24",24,224,"3.6000","4.3360","East US 2 / 0%"
"Standard_NC24ads_A100_v4",24,220,"3.6730","4.7770","West US 3 / 0%"
"Standard_NC24r",24,224,"3.9600","4.7700","East US 2 / 0%"
"Standard_NC24rs_v2",24,448,"9.1080","10.9710","East US / 0%"
"Standard_NC24rs_v3",24,448,"13.4600","14.5600","West US 2 / 0%"
"Standard_NC24s_v2",24,448,"8.2800","9.9720","East US / 0%"
"Standard_NC24s_v3",24,448,"12.2400","13.3440","East US 2 / 0%"
"Standard_NC40ads_H100_v5",40,320,"6.9800","8.8200","West US 3 / 0%"
"Standard_NC48ads_A100_v4",48,440,"7.3460","9.5540","East US 2 / 0%"
"Standard_NC4as_T4_v3",4,28,"0.5260","0.7100","North Central US / 0%"
"Standard_NC6",6,56,"0.9000","1.0840","East US 2 / 0%"
"Standard_NC64as_T4_v3",64,440,"4.3520","7.2960","North Central US / 0%"
"Standard_NC6s_v2",6,112,"2.0700","2.4930","East US / 0%"
"Standard_NC6s_v3",6,112,"3.0600","3.3360","West US 2 / 0%"
"Standard_NC80adis_H100_v5",80,640,"13.9600","17.6400","East US / 0%"
"Standard_NC8as_T4_v3",8,56,"0.7520","1.1200","West US 2 / 0%"
"Standard_NC96ads_A100_v4",96,880,"14.6920","19.1080","West US 2 / 0%"
"Standard_ND12s",12,224,"4.1400","4.9860","East US / 0%"
"Standard_ND24rs",24,448,"9.1080","10.9710","West US 2 / 0%"
"Standard_ND24s",24,448,"8.2800","9.9720","West US 2 / 0%"
"Standard_ND40rs_v2",40,672,"22.0320","23.8720","West US 2 / 0%"
"Standard_ND6s",6,112,"2.0700","2.4930","West US 2 / 0%"
"Standard_ND96amsr_A100_v4",96,1800,"32.7700","37.1860","West US 2 / 0%"
"Standard_ND96asr_v4",96,900,"27.1970","31.6130","West US 2 / 0%"
"Standard_ND96is_H100_v5",96,1900,"88.4880","92.9040","East US / 0%"
"Standard_ND96isr_H100_v5",96,1900,"98.3200","102.7360","West US 3 / 0%"
"Standard_NP10s",10,168,"1.6500","2.1100","West US 2 / 0%"
"Standard_NP20s",20,336,"3.3000","4.2200","East US / 0%"
"Standard_NP40s",40,672,"6.6000","8.4400","West US 2 / 0%"
"Standard_NV12",12,112,"2.2800","2.8800","West US 2 / -4.2%"
"Standard_NV12ads_A10_v5",12,110,"0.9080","1.4600","West US 2 / 0%"
"Standard_NV12ads_V710_v5",12,64,"1.4000","1.9520","East US / 0%"
"Standard_NV12s_v3",12,112,"1.1400","1.6920","West US / 0%"
"Standard_NV16as_v4",16,56,"0.9320","1.6680","East US 2 / 0%"
"Standard_NV18ads_A10_v5",18,220,"1.6000","2.4280","East US / 0%"
"Standard_NV24",24,224,"4.5600","5.7610","West US 2 / -4.2%"
"Standard_NV24ads_V710_v5",24,128,"2.8000","3.9040","East US / 0%"
"Standard_NV24s_v3",24,224,"2.2800","3.3840","West US 2 / 0%"
"Standard_NV32as_v4",32,112,"1.8640","3.3360","West US 2 / 0%"
"Standard_NV36adms_A10_v5",36,880,"4.5200","6.1760","East US / 0%"
"Standard_NV36ads_A10_v5",36,440,"3.2000","4.8560","West US 3 / 0%"
"Standard_NV48s_v3",48,448,"4.5600","6.7680","West US / 0%"
"Standard_NV4ads_V710_v5",4,16,"0.4670","0.6510","East US / 0%"
"Standard_NV4as_v4",4,14,"0.2330","0.4170","East US 2 / 0%"
"Standard_NV6",6,56,"1.1400","1.4400","West US 2 / -4.2%"
"Standard_NV6ads_A10_v5",6,55,"0.4540","0.7300","East US / 0%"
"Standard_NV72ads_A10_v5",72,880,"6.5200","9.8320","West US 2 / 0%"
"Standard_NV8ads_V710_v5",8,32,"0.9330","1.3010","East US / 0%"
"Standard_NV8as_v4",8,28,"0.4660","0.8340","East US 2 / 0%"
"Standard_PB6s",6,112,"0.8300","1.1060","East US / 0%"
